accession,strain,qseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sseqid_2
AC026131,Homo sapiens,Oe6_s09260,93.971,1244,65,6,1,1242,101981,103216,0,1873,4
AC026131,Homo sapiens,Oe6_s09260,93.091,550,32,4,695,1242,101317,101862,0,800,4
AC026131,Homo sapiens,Oe6_s09260,93.745,1247,69,5,1,1242,111070,112312,0,1862,4
AC026131,Homo sapiens,Oe6_s09260,79.437,1279,193,41,1,1243,110599,111843,0,841,4
AC026131,Homo sapiens,Oe6_s09260,79.14,1256,215,30,1,1242,103687,104909,0,824,4
AC026131,Homo sapiens,Oe6_s09260,93.333,1260,61,6,1,1242,112610,113864,0,1840,4
AC026131,Homo sapiens,Oe6_s09260,80.727,1183,177,32,82,1241,102413,103567,0,874,4
AC026131,Homo sapiens,Oe6_s09260,77.172,1266,214,36,1,1243,109934,111147,0,667,4
AC026131,Homo sapiens,Oe6_s09260,93.971,1244,66,5,1,1242,107057,108293,0,1873,4
AC026131,Homo sapiens,Oe6_s09260,87.881,1246,106,18,1,1243,108880,110083,0,1423,4
AC026131,Homo sapiens,Oe6_s09260,93.896,1245,69,5,1,1242,105230,106470,0,1871,4
AC026131,Homo sapiens,Oe6_s09260,82.353,1156,148,33,100,1236,109356,110474,0,953,4
AC079934,Homo sapiens,Oe6_s09260,92.788,1248,78,10,1,1243,5342,6582,0,1796,3
AC079934,Homo sapiens,Oe6_s09260,76.55,1258,233,37,3,1231,43545,44769,7.2e-177,632,3
AC079934,Homo sapiens,Oe6_s09260,77.249,1323,191,55,1,1239,12347,13643,0,675,3
AC079934,Homo sapiens,Oe6_s09260,98.392,1244,20,0,2,1245,11040,12283,0,2187,3
AC079934,Homo sapiens,Oe6_s09260,77.098,1323,193,55,1,1239,15937,17233,0,664,3
AC079934,Homo sapiens,Oe6_s09260,98.474,1245,19,0,1,1245,30248,31492,0,2194,3
AC079934,Homo sapiens,Oe6_s09260,90.198,1265,92,18,1,1245,38825,40077,0,1620,3
AC079934,Homo sapiens,Oe6_s09260,81.087,1269,178,39,1,1242,29312,30545,0,957,3
AC079934,Homo sapiens,Oe6_s09260,80.919,1284,174,45,1,1239,35273,36530,0,948,3
AC079934,Homo sapiens,Oe6_s09260,99.116,1245,11,0,1,1245,42853,44097,0,2239,3
AC079934,Homo sapiens,Oe6_s09260,97.831,1245,27,0,1,1245,32491,33735,0,2150,3
AC079934,Homo sapiens,Oe6_s09260,98.394,1245,20,0,1,1245,12854,14098,0,2189,3
AC079934,Homo sapiens,Oe6_s09260,87.884,1238,110,26,26,1245,33994,35209,0,1419,3
AC079934,Homo sapiens,Oe6_s09260,80.299,1269,183,45,3,1242,31558,32788,0,896,3
AC079934,Homo sapiens,Oe6_s09260,98.716,1246,15,1,1,1245,1321,2566,0,2211,3
AC079934,Homo sapiens,Oe6_s09260,81.339,1270,178,35,1,1242,44629,45867,0,977,3
AC079934,Homo sapiens,Oe6_s09260,98.233,1245,22,0,1,1245,9731,10975,0,2178,3
AC079934,Homo sapiens,Oe6_s09260,98.233,1245,22,0,1,1245,14629,15873,0,2178,3
AC079934,Homo sapiens,Oe6_s09260,81.309,1268,177,37,1,1242,6551,7784,0,974,3
AC079934,Homo sapiens,Oe6_s09260,98.721,391,5,0,1,391,47346,47736,0,695,3
AC079934,Homo sapiens,Oe6_s09260,99.036,1245,12,0,1,1245,37517,38761,0,2233,3
AC079934,Homo sapiens,Oe6_s09260,96.845,1268,16,4,1,1245,18217,19483,0,2098,3
AC079934,Homo sapiens,Oe6_s09260,98.233,1245,22,0,1,1245,26228,27472,0,2178,3
AC079934,Homo sapiens,Oe6_s09260,98.795,1245,15,0,1,1245,45570,46814,0,2217,3
AC079934,Homo sapiens,Oe6_s09260,96.609,1268,20,1,1,1245,23589,24856,0,2082,3
AC079934,Homo sapiens,Oe6_s09260,94.141,1263,52,10,5,1245,19551,20813,0,1903,3
AC079934,Homo sapiens,Oe6_s09260,98.394,1245,20,0,1,1245,24920,26164,0,2189,3
AC079934,Homo sapiens,Oe6_s09260,98.394,1245,17,1,1,1245,16444,17685,0,2185,3
AC079934,Homo sapiens,Oe6_s09260,98.313,1245,21,0,1,1245,35741,36985,0,2183,3
AC079934,Homo sapiens,Oe6_s09260,81.747,1271,171,37,1,1242,44161,45399,0,1005,3
AC079934,Homo sapiens,Oe6_s09260,99.116,1245,11,0,1,1245,3098,4342,0,2239,3
AC079934,Homo sapiens,Oe6_s09260,81.33,1248,187,26,1,1231,33799,35017,0,972,3
AC079934,Homo sapiens,Oe6_s09260,81.23,1268,178,36,1,1242,40141,41374,0,968,3
AC079934,Homo sapiens,Oe6_s09260,80.632,1265,172,48,1,1232,23121,24345,0,911,3
AC079934,Homo sapiens,Oe6_s09260,81.043,1266,180,37,3,1242,7021,8252,0,953,3
AC079934,Homo sapiens,Oe6_s09260,80.841,1284,174,44,1,1239,14162,15418,0,942,3
AC079934,Homo sapiens,Oe6_s09260,80.218,1284,183,46,1,1239,42385,43642,0,898,3
AC079934,Homo sapiens,Oe6_s09260,80.342,1287,176,41,1,1239,20877,22134,0,904,3
AC079934,Homo sapiens,Oe6_s09260,80.218,1284,183,46,1,1239,37049,38306,0,898,3
AC079934,Homo sapiens,Oe6_s09260,80.851,1269,180,40,1,1242,4406,5638,0,939,3
AC079934,Homo sapiens,Oe6_s09260,99.116,1245,11,0,1,1245,41077,42321,0,2239,3
AC079934,Homo sapiens,Oe6_s09260,80.367,1253,171,46,1,1231,17749,18948,0,881,3
AC079934,Homo sapiens,Oe6_s09260,79.921,1265,178,50,1,1231,34267,35489,0,859,3
AC079934,Homo sapiens,Oe6_s09260,79.549,1286,188,46,1,1239,32023,33280,0,848,3
AC079934,Homo sapiens,Oe6_s09260,80.357,1288,175,43,1,1239,853,2111,0,905,3
AC079934,Homo sapiens,Oe6_s09260,80.374,1284,181,45,1,1239,29780,31037,0,909,3
AC079934,Homo sapiens,Oe6_s09260,80.482,1286,176,48,1,1239,2630,3887,0,915,3
AC079934,Homo sapiens,Oe6_s09260,80.404,1286,175,39,3,1239,4876,6133,0,907,3
AC079934,Homo sapiens,Oe6_s09260,80.564,1276,178,44,1,1243,40609,41847,0,918,3
AC079934,Homo sapiens,Oe6_s09260,83.1,858,115,19,1,842,46878,47721,0,754,3
AC079934,Homo sapiens,Oe6_s09260,80.296,1284,182,43,1,1239,9263,10520,0,904,3
AC079934,Homo sapiens,Oe6_s09260,80.886,1287,169,41,1,1239,27536,28793,0,942,3
AC079934,Homo sapiens,Oe6_s09260,80.296,1284,182,48,1,1239,7487,8744,0,904,3
AC079934,Homo sapiens,Oe6_s09260,98.876,1245,14,0,1,1245,7955,9199,0,2222,3
AC079934,Homo sapiens,Oe6_s09260,80.477,1301,173,47,1,1243,39292,40569,0,920,3
AC079934,Homo sapiens,Oe6_s09260,96.315,787,22,6,466,1245,3,789,0,1286,3
AC079934,Homo sapiens,Oe6_s09260,99.357,1245,8,0,1,1245,21345,22589,0,2255,3
AC079934,Homo sapiens,Oe6_s09260,98.876,1245,14,0,1,1245,28004,29248,0,2222,3
AC079934,Homo sapiens,Oe6_s09260,80.442,1268,188,39,1,1242,22653,23886,0,913,3
AC079934,Homo sapiens,Oe6_s09260,80.562,1281,172,41,7,1239,45108,46359,0,915,3
AC091220,Drosophila melanogaster,Oe6_s08364,73.374,815,194,16,41247,42054,176594,175796,1.4e-69,281,3
AC092854,Homo sapiens,Oe6_s09260,76.448,1278,224,46,1,1242,148599,149835,1.56e-173,621,14
AC092854,Homo sapiens,Oe6_s09260,79.829,1284,201,34,3,1242,145846,147115,0,883,14
AC092854,Homo sapiens,Oe6_s09260,81.024,1270,180,39,7,1242,143959,145201,0,953,14
AC093435,Drosophila melanogaster,Oe6_s08364,73.424,809,192,16,41247,42048,129771,130563,1.4e-69,281,3
AC106819,Homo sapiens,Oe6_s09260,76.893,1268,211,54,1,1243,53973,52763,3.32e-180,643,3
AC110072,Homo sapiens,Oe6_s09260,77.157,1252,214,48,3,1234,12030,10831,0,662,3
AC110072,Homo sapiens,Oe6_s09260,80.237,1265,181,40,3,1245,14330,13113,0,887,3
AC110072,Homo sapiens,Oe6_s09260,77.273,1276,217,47,8,1245,53780,52540,0,682,3
AC110072,Homo sapiens,Oe6_s09260,77.583,1258,196,49,3,1231,82166,83366,0,682,3
AC110072,Homo sapiens,Oe6_s09260,77.118,1263,207,41,8,1243,81755,82962,0,656,3
AC110072,Homo sapiens,Oe6_s09260,78.638,1278,170,52,3,1200,81306,82560,0,752,3
AC113122,Mus musculus,Oe6_s07662,88.496,113,5,8,413,522,65167,65060,4.66e-26,130,9
AC114899,Ustilago hordei,Oe6_s03437,92.357,157,9,3,1108,1261,73471,73627,7.91e-53,220,5
AC114899,Ustilago hordei,Oe6_s03437,92.562,121,6,3,1108,1225,68759,68879,8.08e-38,171,5
AC114899,Ustilago hordei,Oe6_s03437,88.333,120,6,3,1034,1145,98252,98371,8.2e-28,137,5
AC114899,Ustilago hordei,Oe6_s03437,87.73,163,11,4,1037,1190,45617,45455,3.73e-41,182,5
AC114899,Ustilago hordei,Oe6_s03437,93.388,121,5,3,1108,1225,39173,39293,1.74e-39,176,5
AC114899,Ustilago hordei,Oe6_s03437,92.308,156,10,2,1108,1261,32683,32838,7.91e-53,220,5
AC114899,Ustilago hordei,Oe6_s03437,89.157,166,9,4,1034,1190,39173,39338,3.71e-46,198,5
AC114899,Ustilago hordei,Oe6_s03437,82.168,286,28,15,437,706,42555,42833,6.12e-54,224,5
AC114899,Ustilago hordei,Oe6_s03437,91.146,192,14,3,1073,1261,45615,45424,6.03e-64,257,5
AC114899,Ustilago hordei,Oe6_s03437,87.349,166,12,4,1034,1190,68759,68924,3.73e-41,182,5
AC114899,Ustilago hordei,Oe6_s03437,90.625,192,15,3,1073,1261,68764,68955,2.81e-62,252,5
AC114899,Ustilago hordei,Oe6_s03437,84.343,198,20,9,1151,1341,45617,45424,1.04e-41,183,5
AC114899,Ustilago hordei,Oe6_s03437,85.39,308,16,11,130,437,83346,83624,1.65e-74,292,5
AC114899,Ustilago hordei,Oe6_s03437,81.877,309,27,14,130,438,39786,40065,1.02e-56,233,5
AC114899,Ustilago hordei,Oe6_s03437,80.892,314,29,12,647,932,66059,66369,2.85e-52,219,5
AC114899,Ustilago hordei,Oe6_s03437,85.841,339,25,10,100,438,65649,65334,2.09e-88,339,5
AC114899,Ustilago hordei,Oe6_s03437,83.962,212,22,10,1135,1339,39161,39367,1.73e-44,193,5
AC114899,Ustilago hordei,Oe6_s03437,92.308,156,10,2,1108,1261,98252,98407,7.91e-53,220,5
AC114899,Ustilago hordei,Oe6_s03437,83.254,209,29,6,1137,1341,68749,68955,8.03e-43,187,5
AC114899,Ustilago hordei,Oe6_s03437,90.11,91,6,3,1137,1225,98242,98331,3.84e-21,115,5
AC114899,Ustilago hordei,Oe6_s03437,83.442,308,22,11,130,437,98825,99103,1.68e-64,259,5
AC114899,Ustilago hordei,Oe6_s03437,80.196,510,61,20,130,633,70518,70043,1.25e-90,346,5
AC114899,Ustilago hordei,Oe6_s03437,82.911,316,23,16,130,444,45008,44723,2.17e-63,255,5
AC114899,Ustilago hordei,Oe6_s03437,87.46,311,34,5,129,437,42328,42021,7.48e-93,353,5
AC114899,Ustilago hordei,Oe6_s03437,88.43,121,6,3,1033,1145,45580,45460,2.28e-28,139,5
AC114899,Ustilago hordei,Oe6_s03437,81.768,181,17,11,1168,1341,42912,42741,8.2e-28,137,5
AC114899,Ustilago hordei,Oe6_s03437,88.333,120,6,3,1034,1145,32683,32802,8.2e-28,137,5
AC114899,Ustilago hordei,Oe6_s03437,84.74,308,18,11,130,437,74045,74323,3.58e-71,281,5
AC114899,Ustilago hordei,Oe6_s03437,90.833,120,9,2,1073,1190,32688,32807,1.75e-34,159,5
AC114899,Ustilago hordei,Oe6_s03437,82.051,507,59,22,438,921,83117,82620,7.32e-108,403,5
AC114899,Ustilago hordei,Oe6_s03437,83.691,233,26,7,437,661,10398,10170,1.71e-49,209,5
AC114899,Ustilago hordei,Oe6_s03437,83.442,308,22,11,130,437,72938,73216,1.68e-64,259,5
AC114899,Ustilago hordei,Oe6_s03437,88.673,309,34,1,129,437,13121,12814,1.6e-99,375,5
AC114899,Ustilago hordei,Oe6_s03437,89.256,121,5,3,1033,1145,39213,39333,4.9e-30,145,5
AC114899,Ustilago hordei,Oe6_s03437,83.614,415,40,20,438,833,97095,97500,3.45e-96,364,5
AC114899,Ustilago hordei,Oe6_s03437,89.167,120,5,3,1034,1145,73471,73590,1.76e-29,143,5
AC114899,Ustilago hordei,Oe6_s03437,90.833,120,9,2,1073,1190,98257,98376,1.75e-34,159,5
AC114899,Ustilago hordei,Oe6_s03437,84.971,173,17,6,438,605,13349,13517,1.05e-36,167,5
AC114899,Ustilago hordei,Oe6_s03437,91.667,120,8,2,1073,1190,73476,73595,3.76e-36,165,5
AC114899,Ustilago hordei,Oe6_s03437,89.677,310,29,3,129,437,96867,96560,1.58e-104,392,5
AC114899,Ustilago hordei,Oe6_s03437,90.909,121,8,3,1111,1228,45617,45497,1.75e-34,159,5
AC114899,Ustilago hordei,Oe6_s03437,91.667,84,6,1,1108,1190,82819,82902,3.84e-21,115,5
AC114899,Ustilago hordei,Oe6_s03437,83.459,133,12,6,1187,1318,10031,10154,3.84e-21,115,5
AC114899,Ustilago hordei,Oe6_s03437,81.875,160,19,8,1188,1341,98252,98407,1.77e-24,126,5
AC114899,Ustilago hordei,Oe6_s03437,82.857,140,14,9,433,569,79671,79803,1.07e-21,117,5
AC114899,Ustilago hordei,Oe6_s03437,83.766,308,21,14,130,437,69373,69651,3.6e-66,265,5
AC114899,Ustilago hordei,Oe6_s03437,90.671,343,31,1,96,437,10546,10888,1.99e-123,455,5
AC114899,Ustilago hordei,Oe6_s03437,79.444,180,23,12,452,624,11845,12017,3.84e-21,115,5
AC114899,Ustilago hordei,Oe6_s03437,81.988,161,18,9,1188,1341,73471,73627,1.77e-24,126,5
AC114899,Ustilago hordei,Oe6_s03437,80.925,173,22,9,1175,1341,32671,32838,1.77e-24,126,5
AC114899,Ustilago hordei,Oe6_s03437,85.897,156,17,4,1108,1259,66148,65994,4.86e-35,161,5
AC114899,Ustilago hordei,Oe6_s03437,92.105,190,12,3,1073,1259,39178,39367,3.6e-66,265,5
AC114899,Ustilago hordei,Oe6_s03437,83.819,309,25,12,130,437,13802,13518,7.75e-68,270,5
AC114899,Ustilago hordei,Oe6_s03437,84.416,308,19,11,130,437,33255,33533,1.67e-69,276,5
AC114899,Ustilago hordei,Oe6_s03437,86.777,121,8,3,1033,1145,68799,68919,4.93e-25,128,5
AC114899,Ustilago hordei,Oe6_s03437,85.199,277,36,4,677,949,10003,9728,1.29e-70,279,5
AC114899,Ustilago hordei,Oe6_s03437,82.965,317,34,17,438,741,45236,45545,2.79e-67,268,5
AC114900,Ustilago hordei,Oe6_s03437,91.667,84,6,1,1108,1190,22680,22597,3.84e-21,115,26
AC114900,Ustilago hordei,Oe6_s03437,83.871,310,21,14,130,439,70478,70758,2.79e-67,268,26
AC114900,Ustilago hordei,Oe6_s03437,88.95,181,14,5,643,821,55830,55654,2.85e-52,219,26
AC114900,Ustilago hordei,Oe6_s03437,91.52,342,29,0,96,437,24513,24854,1.98e-128,472,26
AC114900,Ustilago hordei,Oe6_s03437,94.737,76,4,0,1266,1341,51270,51345,2.97e-22,119,26
AC114900,Ustilago hordei,Oe6_s03437,84.091,308,26,10,130,437,62382,62098,1.67e-69,276,26
AC114900,Ustilago hordei,Oe6_s03437,80.696,316,31,12,643,932,24051,23740,2.85e-52,219,26
AC114900,Ustilago hordei,Oe6_s03437,84.091,308,25,12,130,437,15690,15407,1.67e-69,276,26
AC114900,Ustilago hordei,Oe6_s03437,94.737,76,4,0,1266,1341,44790,44715,2.97e-22,119,26
AC114900,Ustilago hordei,Oe6_s03437,90,350,32,3,96,444,98692,98345,9.27e-122,449,26
AC114900,Ustilago hordei,Oe6_s03437,90.096,313,29,2,126,437,29235,28924,2.04e-108,405,26
AC114900,Ustilago hordei,Oe6_s03437,85.714,224,22,7,437,654,56092,55873,4.73e-55,228,26
AC114900,Ustilago hordei,Oe6_s03437,83.172,309,28,7,129,437,13218,12934,4.66e-65,261,26
AC114900,Ustilago hordei,Oe6_s03437,96.053,76,3,0,1266,1341,22641,22566,6.38e-24,124,26
AC114900,Ustilago hordei,Oe6_s03437,92.857,84,5,1,1108,1190,69904,69987,8.26e-23,121,26
AC114900,Ustilago hordei,Oe6_s03437,81.784,269,31,17,437,693,99544,99806,1.71e-49,209,26
AC114900,Ustilago hordei,Oe6_s03437,79.696,527,64,25,438,931,62611,63127,5.82e-89,340,26
AC114900,Ustilago hordei,Oe6_s03437,85.52,221,24,7,437,653,24366,24150,6.12e-54,224,26
AC114900,Ustilago hordei,Oe6_s03437,78.534,191,29,7,1139,1327,23954,24134,3.84e-21,115,26
AC114900,Ustilago hordei,Oe6_s03437,84.091,308,26,10,132,439,51764,52048,1.67e-69,276,26
AC114900,Ustilago hordei,Oe6_s03437,81.423,506,63,20,438,921,22383,22879,2.65e-102,385,26
AC114900,Ustilago hordei,Oe6_s03437,80.978,184,21,8,1160,1336,15230,15406,1.06e-26,134,26
AC114900,Ustilago hordei,Oe6_s03437,81.013,316,46,10,100,402,56244,56558,2.18e-58,239,26
AC114900,Ustilago hordei,Oe6_s03437,84.348,230,24,7,437,658,98840,99065,3.68e-51,215,26
AC114900,Ustilago hordei,Oe6_s03437,96.053,76,3,0,1266,1341,69943,70018,6.38e-24,124,26
AC114900,Ustilago hordei,Oe6_s03437,87.329,292,31,6,643,932,99158,99445,1.26e-85,329,26
AC114900,Ustilago hordei,Oe6_s03437,82.792,308,30,10,130,437,45276,45560,7.8e-63,254,26
AC114900,Ustilago hordei,Oe6_s03437,89.683,126,11,2,1137,1261,51221,51345,1.75e-34,159,26
AC114900,Ustilago hordei,Oe6_s03437,89.32,309,31,2,129,437,27590,27896,7.37e-103,387,26
AC114900,Ustilago hordei,Oe6_s03437,88.014,292,29,5,643,932,29748,30035,5.82e-89,340,26
AC114900,Ustilago hordei,Oe6_s03437,88.333,120,12,2,1143,1261,62912,62794,1.76e-29,143,26
AC114900,Ustilago hordei,Oe6_s03437,88.968,281,25,5,643,921,27325,27049,1.62e-89,342,26
AC114900,Ustilago hordei,Oe6_s03437,91.27,126,9,2,1137,1261,69894,70018,8.08e-38,171,26
AC114900,Ustilago hordei,Oe6_s03437,83.172,309,29,10,132,440,22152,21867,4.66e-65,261,26
AC114900,Ustilago hordei,Oe6_s03437,83.117,231,28,8,437,661,29433,29658,1.03e-46,200,26
AC114900,Ustilago hordei,Oe6_s03437,90,120,10,2,1143,1261,44833,44715,8.14e-33,154,26
AC114900,Ustilago hordei,Oe6_s03437,91.667,120,8,2,1143,1261,22684,22566,3.76e-36,165,26
AC114900,Ustilago hordei,Oe6_s03437,79.139,302,34,11,647,921,16176,16475,3.73e-41,182,26
AC114900,Ustilago hordei,Oe6_s03437,85.657,251,28,5,189,439,14116,14358,6.03e-64,257,26
AC114905,Mus musculus,Oe6_s07662,88.793,116,5,8,411,523,33137,33247,1e-27,135,10
AC114905,Mus musculus,Oe6_s07662,88.793,116,5,8,411,523,4369,4479,1e-27,135,10
AC114905,Mus musculus,Oe6_s07662,87.395,119,7,8,408,523,22339,22452,4.66e-26,130,10
