accession,taxid,superkingdom,phylum,class,order,family,genus,species,strain
L21009,1592886,Eukaryota,,,Dictyosteliales,Dictyosteliaceae,Dictyostelium,Dictyostelium discoideum,Dictyostelium discoideum AX3
L21010,1592886,Eukaryota,,,Dictyosteliales,Dictyosteliaceae,Dictyostelium,Dictyostelium discoideum,Dictyostelium discoideum AX3
K02227,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
K03022,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
K03023,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
X01408,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
X72623,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
L37793,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
Z29081,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
L41068,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
X78052,549,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea agglomerans,
Z64559,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
Z37980,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
U57614,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
U58662,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
U33015,7227,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,
X81893,549,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea agglomerans,
D00038,1718,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,
AF053946,632,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,
AF051684,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF036763,162425,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,
AF074612,632,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,
AL031601,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF091268,86128,,,,,,,Shuttle vector pCGL0243,
AF092035,86129,,,,,,,Integration vector pCGL0289,
AF092036,86251,,,,,,,Shuttle vector pCGL0482,
AF092037,1718,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,
AF092931,86130,,,,,,,Shuttle vector pCGL0609,
AF043332,162425,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,
AH001536,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AH003022,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF109913,870730,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea,Ogataea angusta,
AF110887,89819,Eukaryota,Arthropoda,Pauropoda,Tetramerocerata,Pauropodidae,,Pauropodinae gen. sp.,
AF110888,89907,Eukaryota,Arthropoda,Diplopoda,Sphaerotheriida,Sphaerotheriidae,Epicyliosoma,Epicyliosoma sp. AMcL-1999,
AF147270,9555,Eukaryota,Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio anubis,
AL117189,214092,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yersinia pestis CO92
AP000438,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AP000543,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AL133173,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AJ133193,89015,,,,,,,Shuttle vector pMJ1,
AJ133194,89016,,,,,,,Shuttle vector pMJ-A,
AJ133195,89017,,,,,,,Shuttle vector pXMJ19,
AC018696,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC019340,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC022370,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AP001160,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AL139801,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC024051,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC025223,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC026131,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF286030,5270,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago maydis,
AJ297108,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AJ297042,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC079934,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AK022146,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF287991,9593,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,
AF287992,9598,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,
AJ302782,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AE004091,208964,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonas aeruginosa PAO1
AF324174,48984,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea agglomerans,Pantoea agglomerans pv. gypsophilae
AC091220,7227,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,
AL590994,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AC092175,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC092854,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361703,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361704,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361705,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361706,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361707,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361709,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361711,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361712,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361713,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361714,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361715,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361716,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361717,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361719,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361720,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361721,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361722,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361723,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361725,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361726,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361727,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361728,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361729,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361730,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361731,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361732,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361733,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361734,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361735,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361736,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361737,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361738,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361739,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361740,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361741,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361742,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AF361743,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AL603711,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AC093435,7227,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,
AY040608,746128,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,
AY040609,746128,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,
AF370821,172516,Eukaryota,Arthropoda,Insecta,Ephemeroptera,Baetidae,Callibaetis,Callibaetis ferrugineus,
AY052544,143451,Eukaryota,,Oomycetes,Peronosporales,Peronosporaceae,Plasmopara,Plasmopara viticola,
NM_080487,7227,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,
AE008918,224914,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella melitensis,Brucella melitensis bv. 1
AC106819,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC110072,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC113122,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AC113436,9598,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,
AE005673,190650,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides,Caulobacter vibrioides CB15
AC114899,120017,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago hordei,
AC114900,120017,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago hordei,
AC114905,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AY081765,68825,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,Rasamsonia emersonii,
AL713883,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AC116560,120017,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago hordei,
AC118772,10116,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,
AC119572,120017,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago hordei,
AC120136,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AC120391,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AE008922,190485,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,Xanthomonas campestris pv. campestris
AE008923,190486,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas citri,
AC124036,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AY119111,7227,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,
AC127380,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC127387,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC127701,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AB078815,5062,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,
AC129338,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC129779,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC129782,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC132607,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AE014296,7227,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,
AC134879,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AE014292,204722,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,Brucella suis 1330
AE005674,198214,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,Shigella flexneri 2a
AC135776,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC136932,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AE015451,160488,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,Pseudomonas putida KT2440
AC137499,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
BX004997,7955,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Danio,Danio rerio,
BX005336,7955,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Danio,Danio rerio,
AY144892,27293,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania servazzii,
AY211882,223393,,,,,,,Shuttle vector pCRA1,
AJ551178,5061,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,
BX322613,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AE014073,198215,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,Shigella flexneri 2a
AL646052,267608,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,Ralstonia solanacearum GMI1000
AL591985,266834,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti,Sinorhizobium meliloti 1021
AC144895,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC144903,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AK110001,39947,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza sativa,Oryza sativa Japonica Group
AK110020,39947,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza sativa,Oryza sativa Japonica Group
AK110177,39947,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza sativa,Oryza sativa Japonica Group
AC145751,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AC146133,9598,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,
AC146179,9598,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,
BX640437,257310,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella bronchiseptica,Bordetella bronchiseptica RB50
BX640441,257310,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella bronchiseptica,Bordetella bronchiseptica RB50
BX640423,519,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella parapertussis,
BX640426,519,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella parapertussis,
BX640419,257313,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis,Bordetella pertussis Tohama I
AE016825,243365,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium violaceum,Chromobacterium violaceum ATCC 12472
BX649480,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AY291576,5503,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia lunata,
AY378100,1244085,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Klebsiella pneumoniae CG43
AY392450,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
BX572604,258594,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,Rhodopseudomonas palustris CGA009
BX572601,258594,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,Rhodopseudomonas palustris CGA009
BX927129,7955,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Danio,Danio rerio,
AY528232,34038,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella aquatilis,
AE017043,229193,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,
BC018500,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
AY509004,321314,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,
AB128918,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
AB128921,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
CR388189,7955,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Danio,Danio rerio,
AY585307,272747,,,,,,,Shuttle-expression vector pEKEx2,
AC148935,9598,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,
AC149092,9598,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,
BA000040,224911,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium diazoefficiens,Bradyrhizobium diazoefficiens USDA 110
BA000012,266835,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium japonicum,Mesorhizobium japonicum MAFF 303099
CR380959,5478,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,
XM_449923,5478,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,
BX936399,273123,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,Yersinia pseudotuberculosis IP 32953
CR555306,76114,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,Aromatoleum aromaticum,Aromatoleum aromaticum EbN1
AC153654,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
CR932438,7955,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Danio,Danio rerio,
AP006725,484021,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
AP006726,484021,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
AE017351,214684,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,
XM_567793,214684,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,
AE013598,291331,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,Xanthomonas oryzae pv. oryzae
AC156805,9598,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,
AY765358,558553,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea angulata,
AY765359,558553,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea angulata,
AY765360,558553,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea angulata,
AY765361,558553,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea angulata,
AY765362,558553,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea angulata,
AY765363,558553,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea angulata,
AY765364,29159,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea gigas,
AY765365,29159,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea gigas,
AY765366,29159,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea gigas,
AY765367,29159,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea gigas,
AY765368,29159,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea gigas,
AJ885178,315474,,,,,,,Shuttle promoter-probe vector pET2,
CR937250,7159,Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes aegypti,
CR937729,7159,Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes aegypti,
CR937099,7159,Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes aegypti,
CR937175,7159,Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes aegypti,
AE017224,262698,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,Brucella abortus bv. 1
AC159964,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
AC161019,9598,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,
CP000050,314565,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,Xanthomonas campestris pv. campestris
XM_633823,352472,Eukaryota,,,Dictyosteliales,Dictyosteliaceae,Dictyostelium,Dictyostelium discoideum,Dictyostelium discoideum AX4
XM_637217,352472,Eukaryota,,,Dictyosteliales,Dictyosteliaceae,Dictyostelium,Dictyostelium discoideum,Dictyostelium discoideum AX4
XM_656466,227321,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,Aspergillus nidulans FGSC A4
XM_657371,227321,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,Aspergillus nidulans FGSC A4
